author,candidato,circulation,date_published,source,title,url
,Freixo,,2016-10-16T02:05:00-02:00,folha,Rio! Vai dar Marcelo!,http://www1.folha.uol.com.br/colunas/josesimao/2016/10/1822935-rio-vai-dar-marcelo.shtml
,Freixo,,2016-10-16T00:10:00-03:00,jb,O que fazer,http://www.jb.com.br/sociedade-aberta/noticias/2016/10/16/o-que-fazer/
Gustavo Schmitt - O Globo,Freixo,,2016-10-15T13:04:00-03:00,extra,"Em busca de apoio, Crivella faz campanha com vice de Osorio",http://extra.globo.com/noticias/brasil/em-busca-de-apoio-crivella-faz-campanha-com-vice-de-osorio-20295628.html
,Freixo,,2016-10-15T12:00:00-03:00,odia,Informe do DIA: Vantagem de Crivella sobre Freixo provoca debandada no Rio,http://odia.ig.com.br/rio-de-janeiro/2016-10-15/informe-do-dia-vantagem-de-crivella-sobre-freixo-provoca-debandada-no-rio.html
VEra Araújo - O Globo,Freixo,,2016-10-15T11:52:00-03:00,extra,Freixo defende política de moradia com tratamento de esgoto associado à educação ambiental,http://extra.globo.com/noticias/brasil/freixo-defende-politica-de-moradia-com-tratamento-de-esgoto-associado-educacao-ambiental-20295559.html
O Globo,Freixo,,2016-10-15T09:56:00-03:00,extra,Datafolha: Freixo cai 13 pontos entre eleitores com nível superior,http://extra.globo.com/noticias/brasil/datafolha-freixo-cai-13-pontos-entre-eleitores-com-nivel-superior-20295414.html
,Freixo,,2016-10-15T06:00:00-03:00,globo_g1,Veja as agendas de Marcelo Crivella e Marcelo Freixo neste sábado (15),http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/veja-agendas-de-marcelo-crivella-e-marcelo-freixo-neste-sabado-15.html
Gabriel Cariello - O Globo,Freixo,,2016-10-15T04:30:00-03:00,extra,"Reversão do quadro é improvável na disputa pela prefeitura do Rio, dizem analistas",http://extra.globo.com/noticias/brasil/reversao-do-quadro-improvavel-na-disputa-pela-prefeitura-do-rio-dizem-analistas-20294596.html
Marlen Couto e Renato Grandelle - O Globo,Freixo,,2016-10-15T04:30:00-03:00,extra,Ambiente de negócios desafia futuro prefeito do Rio,http://extra.globo.com/noticias/brasil/ambiente-de-negocios-desafia-futuro-prefeito-do-rio-20294316.html
,Freixo,,2016-10-15T02:05:00-03:00,globo_g1,Datafolha mostra como eleitor vê os dois candidatos à Prefeitura do Rio,http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/datafolha-mostra-como-eleitor-ve-os-dois-candidatos-prefeitura-do-rio.html
,Freixo,,2016-10-15T02:05:00-03:00,globo_g1,Datafolha mostra migração de votos no 2º turno no Rio,http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/datafolha-mostra-migracao-de-votos-no-2-turno-no-rio.html
,Freixo,,2016-10-14T22:58:03-03:00,otempo,"Crivella amplia vantagem sobre Freixo, diz Datafolha",http://www.otempo.com.br/capa/pol%C3%ADtica/crivella-amplia-vantagem-sobre-freixo-diz-datafolha-1.1385730
Ruben Berta e Suellem Amorim - O Globo,Freixo,,2016-10-14T20:36:00-03:00,extra,Crivella comemora Datafolha e Freixo credita queda a boatos,http://extra.globo.com/noticias/brasil/crivella-comemora-datafolha-freixo-credita-queda-boatos-20293492.html
Marcos Nunes e O Globo,Freixo,,2016-10-14T20:18:00-03:00,extra,"‘Se ela quisesse me apoiar, eu negaria’, diz Freixo sobre vídeo de Carminha Jerominho",http://extra.globo.com/noticias/se-ela-quisesse-me-apoiar-eu-negaria-diz-freixo-sobre-video-de-carminha-jerominho-20293371.html
MARCELO MOURA E GABRIELA VARELLA,Freixo,,2016-10-14T20:00:00-03:00,epoca,Frases que resumem a semana,http://epoca.globo.com/tempo/noticia/2016/10/frases-que-resumem-semana957.html
,Freixo,,2016-10-14T19:50:00-03:00,dci,"Crivella amplia vantagem sobre Freixo no Rio, diz Datafolha","http://www.dci.com.br/politica/crivella-amplia-vantagem-sobre-freixo-no-rio,-diz-datafolha-id581009.html"
Suellen Amorim - O Globo,Freixo,,2016-10-14T19:36:00-03:00,extra,Jandira entra na campanha de Marcelo Freixo em ato na Cinelândia,http://extra.globo.com/noticias/brasil/jandira-entra-na-campanha-de-marcelo-freixo-em-ato-na-cinelandia-20293064.html
,Freixo,,2016-10-14T19:27:01-03:00,odia,"Crivella amplia diferença contra Freixo, aponta pesquisa",http://odia.ig.com.br/rio-de-janeiro/2016-10-14/crivella-amplia-diferenca-contra-freixo-aponta-pesquisa.html
,Freixo,,2016-10-14T19:24:00-03:00,globo_g1,Marcelo Freixo promete aumentar o orçamento do setor de cultura,http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/marcelo-freixo-promete-aumentar-o-orcamento-do-setor-de-cultura.html
O Globo,Freixo,,2016-10-14T19:24:00-03:00,extra,Datafolha: Crivella mantém liderança com 48% e Freixo soma 25% das intenções de voto,http://extra.globo.com/noticias/brasil/datafolha-crivella-mantem-lideranca-com-48-freixo-soma-25-das-intencoes-de-voto-20292938.html
,Freixo,,2016-10-14T19:12:00-03:00,globo_g1,"Datafolha: Crivella, 48%, Freixo, 25%, brancos/nulos, 19%, não sabem, 8%",http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/datafolha-crivella-48-freixo-25-brancosnulos-19-nao-sabem-8.html
,Freixo,,2016-10-14T19:05:00-03:00,jb,"Datafolha: Marcelo Crivella tem 44%, Marcelo Freixo tem 27%",http://www.jb.com.br/eleicoes-2016-rio/noticias/2016/10/14/datafolha-marcelo-crivella-tem-44-marcelo-freixo-tem-27-2/
,Freixo,,2016-10-14T16:44:01-03:00,odia,Filha de miliciano chama Freixo de covarde e pede voto para Crivella,http://odia.ig.com.br/rio-de-janeiro/2016-10-14/filha-de-miliciano-chama-freixo-de-covarde-e-pede-voto-para-crivella.html
O Globo,Freixo,,2016-10-14T16:12:00-03:00,extra,"Corrente do PSOL chama Shimon Peres de ‘genocida’, e Freixo se desculpa",http://extra.globo.com/noticias/brasil/corrente-do-psol-chama-shimon-peres-de-genocida-freixo-se-desculpa-20291244.html
,Freixo,,2016-10-14T15:32:00-03:00,dci,Filha de miliciano divulga apoio a Crivella e desafia Freixo,http://www.dci.com.br/politica/filha-de-miliciano-divulga-apoio-a-crivella-e-desafia-freixo-id580966.html
Luiz Gustavo Schmitt - O Globo,Freixo,,2016-10-14T14:20:00-03:00,extra,Crivella diz que precisa do voto de Carminha Jerominho para ganhar eleição,http://extra.globo.com/noticias/brasil/crivella-diz-que-precisa-do-voto-de-carminha-jerominho-para-ganhar-eleicao-20290375.html
,Freixo,,2016-10-14T13:56:00-03:00,jb,Justiça nega direito de resposta a Garotinho em campanha de Freixo,http://www.jb.com.br/eleicoes-2016-rio/noticias/2016/10/14/justica-nega-direito-de-resposta-a-garotinho-em-campanha-de-freixo/
,Freixo,,2016-10-14T13:03:00-03:00,otempo,Garotinho vira peça central do 2º turno do Rio,http://www.otempo.com.br/capa/pol%C3%ADtica/garotinho-vira-pe%C3%A7a-central-do-2%C2%BA-turno-do-rio-1.1385334
,Freixo,,2016-10-14T12:38:00-03:00,extra,Filha de miliciano chama Freixo de ‘covarde’ e declara apoio a Crivella,http://extra.globo.com/noticias/rio/filha-de-miliciano-chama-freixo-de-covarde-declara-apoio-crivella-20289754.html
,Freixo,,2016-10-14T12:00:03-03:00,odia,Informe do DIA: PDT quer Eduardo Paes para disputar governo em 2018,http://odia.ig.com.br/rio-de-janeiro/2016-10-14/informe-do-dia-pdt-quer-eduardo-paes-para-disputar-governo-em-2018.html
Marco Grillo - O Globo,Freixo,,2016-10-14T11:59:00-03:00,extra,Freixo defende que Cultura fique com 1% do orçamento municipal,http://extra.globo.com/noticias/brasil/freixo-defende-que-cultura-fique-com-1-do-orcamento-municipal-20289537.html
,Freixo,,2016-10-14T11:35:01-03:00,odia,Rubioli vê propaganda irregular em atos de Freixo,http://odia.ig.com.br/rio-de-janeiro/2016-10-14/rubioli-ve-propaganda-irregular-em-atos-de-freixo.html
